Brand:,Product name,Processor,Video graphics,RAM,Hard drive,Display,Display Resolution,Operating System,Keyboard,Battery,Webcam,Connections,Dimensions,Weight,Colors,Warranty,Price,Processor Details,Power supply type,Laptop Color,Finger Print,Pointing device,Optical drive,Series :,Brand:_encoded,Video graphics_encoded,Display_encoded,Colors_encoded,Display Resolution_encoded,Operating System_encoded,Keyboard_encoded,Battery_encoded,Webcam_encoded,Connections_encoded,Processor Details_encoded,Weight_numeric,Price_bin
MSI,Titan 18 HX Dragon Edition Norse Myth A2XWJG,Intel Core Ultra 9 285HX,Nvidia GeForce RTX 5090 24GB,96GB DDR5 6400MHz 48GB*2,"6TB, 2TB NVMe PCIe Gen5x4 SSD w/o DRAM + 2TB NVMe PCIe Gen4x4 SSD x2","18"" 16:10 UHD+ (3840x2400), MiniLED, 120Hz, 100% DCI-P3 (Typ.), IPS-Level panel",3840x2400,Windows® 11 Home,Cherry Mechanical Per-Key RGB Gaming Keyboard by SteelSeries,4-Cell 99 Battery (Whr),IR FHD type (30fps@1080p) with HDR 3D Noise Reduction+ (3DNR+),2x Thunderbolt™ 5 (DisplayPort™/ Power Delivery 3.1) 3x Type-A USB3.2 Gen2 1x SD Express Card Reader 1x HDMI™ 2.1 (8K @ 60Hz / 4K @ 120Hz),404 x 307.5 x 24-32.05 mm,3.6 kg,Core Black,2 Year,7.490577883530893,"up to 5.0 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 14 cores, 20 threads",,,,,,,7,254,579,28,32,31,85,96,105,389,417,3.6,High
MSI,Katana 15 HX 14XWGK,Intel Core i9-14900HX,Nvidia GeForce RTX 5070 8GB,16GB DDR5 8GB*2,1TB NVMe PCIe SSD Gen4x4,"15.6"" QHD (2560*1440), 165Hz DCI-P3 100% typical",2560*1440,Windows® 11 Home,4-Zone RGB Gaming Keyboard,"4 cell, 75Whr",HD Webcam (720p @ 30fps),1x USB Type-C (USB 3.2 Gen2 / DisplayPort / Power Delivery 3.0) 3x USB Type-A (USB 3.2 Gen2) 1x HDMI 2.1 (8K@60Hz / 4K@120Hz) 1x Mic-in/Headphone-out Combo Jack 1x RJ45 (Gb LAN),359 x 262 x 25.5 mm,2.4 kg,Black,2 Year,0.842982082796654,"up to 5.0 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 14 cores, 20 threads",,,,,,,7,248,266,11,20,31,11,86,82,335,417,2.4,Low
Acer,NITRO V15-ANV15-51-51H9,Intel Core I5-13420H,Nvidia GeForce RTX 4050 6GB,8 GB DDR5-SDRAM,512 GB SSD,15.6'' Inch FHD IPS LED backlight aspect ratio 16:9 refresh rate 144 Hz,1920x1080,Windows® 11 Home,"Non-backlit, Arabic",57 Wh,720P HD camera,USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports quantity 3 HDMI ports quantity 1 USB 3.2 Gen 2 (3.1 Gen 2) Type-C ports quantity 1 Ethernet LAN (RJ-45) ports 1,357.9 x 255 x 23.5 mm,2.29 kg,Black,1 Year,-0.26494593429231467,"8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB",,,,,,,1,234,333,11,10,31,170,148,24,466,323,2.29,Low
Dell,Alienware 16 Aurora AC16250,Intel Core 7 240H,NVIDIA(R) GeForce RTX(TM) 5050,"16GB, 2x8GB, DDR5, 5600 MT/s ( 5200 MT/s with Intel Core 5 CP U)",512GB M.2 PCIe NVMe SSD,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 1 00% sRGB color gamut",2560 x 1600,Windows 11 Home,"Non-backlit, Arabic","6-Cell Battery, 96 Whr (Integr ated)",720P HD camera,"2 USB 3.2 Gen 1 (5 Gbps) ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4a ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with Power Delivery 1 HDMI 2.1 port with Discrete Graphics Controller Direct Output  1 universal audio jack (RCA, 3.5",356.98 x 265.43 x 15.20 mm,2.49 kg,Black,1 Year,0.23362167339772122,"240H (24MB cache, 1 0 cores, 1.80 to 5.20 GHz P-Co re)",,,,,,,2,97,460,11,19,19,170,159,24,369,206,2.49,Low
Dell,Alienware 16 Aurora AC16250,Intel Core 9 270H,Nvidia GeForce RTX 5060 8GB,"16GB, 2x8GB, DDR5, 5600 MT/s",1TB M.2 PCIe NVMe SSD,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 100% sRGB color gamut",2560 x 1600,DOS,Alienware White Backlit Keyboard,"6-Cell Battery, 96 Whr (Integrated)","720p at 30 fps HD camera, Dual-array microphones","2 USB Type-A 3.2 Gen 1 Port 1 Type-C® Port (USB 3.2 Gen 2, DisplayPort™ 1.4) (iGPU) 1 Type-C® Port (USB 3.2 Gen 2, DisplayPort™ 1.4a) (iGPU) 1 HDMI 2.1 (dGPU) 1 Power/DC-in Port 1 RJ-45 Ethernet 1 Global headset jack",356.98 x 265.43 x 22.70 mm,2.49 kg,Black,1 Year,1.119964087068896,"24MB cache, 14 cores, 2.00 to 5.80 GHz P-Core",,,,,,,2,246,461,11,19,0,15,162,38,373,222,2.49,Low
Dell,Alienware 16 Aurora AC16250,Intel Core 7 240H,Nvidia GeForce RTX 5060,"32GB, 2x16GB, DDR5, 5600 MT/s",1TB M.2 PCIe NVMe SSD,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 1 00% sRGB color gamut",2560 x 1600,DOS,"Non-backlit, Arabic","6-Cell Battery, 96 Whr (Integr ated)",720P HD camera,"2 USB 3.2 Gen 1 (5 Gbps) ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4a ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with Power Delivery 1 HDMI 2.1 port with Discrete Graphics Controller Direct Output  1 universal audio jack (RCA, 3.5",356.98 x 265.43 x 15.20 mm,2.49 kg,Black,1 Year,0.5106036776699634,"240H (24MB cache, 1 0 cores, 1.80 to 5.20 GHz P-Co re)",,,,,,,2,245,460,11,19,0,170,159,24,369,206,2.49,Low
Dell,Alienware 16 Aurora AC16250,Intel Core 7 240H,Nvidia GeForce RTX 5050,"16GB, 2x8GB, DDR5, 5600 MT/s ( 5200 MT/s with Intel Core 5 CP U)",1TB M.2 PCIe NVMe SSD,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 100% sRGB color gamut",2560 x 1600,DOS,"Non-backlit, Arabic","6-Cell Battery, 96 Whr (Integr ated)",720P HD camera,"2 USB 3.2 Gen 1 (5 Gbps) ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4a ports 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with Power Delivery 1 HDMI 2.1 port with Discrete Graphics Controller Direct Output  1 universal audio jack (RCA, 3.5",356.98 x 265.43 x 15.20 mm,2.49 kg,Black,1 Year,0.23362167339772122,"240H (24MB cache, 1 0 cores, 1.80 to 5.20 GHz P-Co re)",,,,,,,2,243,461,11,19,0,170,159,24,369,206,2.49,Low
HP,Victus 15-fa2318TX,Intel® Core™ i7-13620H,NVIDIA® GeForce RTX™ 3050,16 GB DDR4-3200 MT/s (1 x 16 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,"39.6 cm (15.6"") diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",1920 x 1080,Dos,"Full-size, backlit, moonstone gray keyboard with numeric keypad","3-cell, 52.5 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45; 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4a, HP Sleep and Charge) 10",357.9 x 255 x 23.5 mm,2.29 kg,Mica silver,1 year,-0.23724773386509046,"up to 4.9 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 10 cores, 16 threads",,,,,,,3,109,602,69,5,1,133,67,101,44,413,2.29,Low
HP,Victus 16-r1042ne,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4050,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,16.1''inch FHD,1920 x 1080,Dos,"Full-size, backlit, moonstone grey keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",357.9 x 255 x 23.5 mm,2.31 kg,Mica silver,1 year,0.053583370620763814,"up to 5.5 GHz with Intel® Turbo Boost Technology, 33 MB L3 cache, 20 cores, 28 threads",,,,,,,3,138,549,69,5,1,135,112,90,45,424,2.31,Low
HP,Victus 15-FA2317TX,Intel® Core™ i7-13620H,NVIDIA® GeForce RTX™ 4050,16 GB DDR4-3200 MT/s (1 x 16 GB) Transfer rates up to 3200 MT/s. 1 x 16 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,15.6'' Inch FHD,1920 x 1080,DOS,"Full-size, backlit, moonstone gray keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45; 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4a, HP Sleep and Charge)",35.79 x 25.5 x 2.35 cm,2.29 kg,Mica silver,1 Year,-0.049509331369364716,"up to 4.9 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 10 cores, 16 threads",,,,,,,3,138,325,69,5,0,133,112,101,43,413,2.29,Low
